idx,n_heur,n_llm,exact_overlap,precision,recall,f1,precision_sub,recall_sub,f1_sub,heur_aspects,llm_aspects
25854,19,8,4,0.211,0.5,0.296,0.316,0.625,0.42,ad|administration|direction|driver|driver's route|fluctuate arrival time|language|management|mark|no sense|notification|notification screen|organisation's lack|pickup|regular use|screen|tab|update|use,administration|arrival time|attitude|driver's route|drop off|language|management|pick up
25982,15,6,3,0.2,0.5,0.286,0.267,0.5,0.348,act|date card|digit|error|file|fund|gift card|help|issue|multiple time|purchase|ride|some reason|summer|uber gift card,confirmation process|dark mode|fund|gift card|ride|search bar
26617,4,4,1,0.25,0.25,0.25,0.75,0.5,0.6,delete theirselves|notification|ringtone|ringtones,delete themselves|happy|notifications|ringtones
26844,3,3,0,0.0,0.0,0,0.667,0.667,0.667,ad|down load at least <digit> time|long time traveler,<digit>|download|time
26985,4,2,1,0.25,0.5,0.333,0.5,1.0,0.667,application|battery|battery life|crash,battery drain|crash
27063,3,3,1,0.333,0.333,0.333,0.333,0.333,0.333,ad|help|reload,<app>|access|reload
27294,5,2,2,0.4,1.0,0.571,0.4,1.0,0.571,digit|quite some time|twinkle|ui|work,twinkle|work
27809,22,8,3,0.136,0.375,0.2,0.273,0.5,0.353,ad|again2|car|customer use|digit> star|driver|extra tip|location|map|okey|other people car|passenger|pick up place|place|please uber apps|rm5|seminar|uber|uber driver|ubers|why this <app|wrong place,dark mode|extra tip|location|search bar|settings|star rating|uber apps|uber driver
28046,4,2,1,0.25,0.5,0.333,0.25,0.5,0.333,change|digit|minimum rs|paytm rule,minimum amount|paytm rule
28533,4,4,1,0.25,0.25,0.25,0.25,0.25,0.25,ad|ads|hell|phone,ads|dark mode|search bar|speed
28844,19,3,2,0.105,0.667,0.182,0.211,1.0,0.348,cellphone|consent use|contact|id|life|malware|mic|mistake|no star|permission|personal info|personal information|phone|pic|program|silver platter|star|stealer|these thing,malware|permissions|personal info
29266,2,3,0,0.0,0.0,0,0.0,0.0,0,however it sometimes mis function|its a great app,dark mode|search bar|settings
29400,16,4,1,0.062,0.25,0.1,0.25,0.75,0.375,complete gawars|customer care|day|driver|experience|help|its standard|kolkata|last ride|message|poor service|quality|street|uber|whole year|worst part,customer care|driver quality|rudeness|service
29401,2,1,0,0.0,0.0,0,0.5,1.0,0.667,ad|pop,pop up
30033,8,3,1,0.125,0.333,0.182,0.375,1.0,0.545,date|good article|guy|information|page|scroll|time|world,page at a time|scroll|smooth scroll
30036,2,1,0,0.0,0.0,0,0.0,0.0,0,so many good thing|ui,install
30223,4,5,0,0.0,0.0,0,0.25,0.2,0.222,ad|digit> nexus 6p|fact|fact that you,dark mode|download|internal storage|nexus 6p|search bar
31380,8,4,1,0.125,0.25,0.167,0.5,0.75,0.6,ad|crash|destination|fact|issue|time|trip|update,add destination|crash|hang|update trip
31663,2,1,0,0.0,0.0,0,1.0,1.0,1.0,edit|picture,edit picture
31672,13,6,2,0.154,0.333,0.211,0.538,0.667,0.596,arrow|design|home|just flip leave|magazine|menu|new magazine style|old design|one hand|right|right menu|top|top leave corner,back arrow|flip back|home|magazine style|navigation|right menu
31745,4,1,1,0.25,1.0,0.4,0.5,1.0,0.667,icon|phone|support|third party icon pack,third party icon pack
32552,1,1,0,0.0,0.0,0,1.0,1.0,1.0,phone,mi phone
32611,2,2,0,0.0,0.0,0,0.5,0.5,0.5,button|no light,keep switch|side button light
33254,1,2,1,1.0,0.5,0.667,1.0,0.5,0.667,sign in,error message|sign in
33286,5,2,1,0.2,0.5,0.286,0.2,0.5,0.286,ad|hell|lot|magic effect|time,loading|magic effect
33330,4,2,2,0.5,1.0,0.667,0.75,1.0,0.857,ad|efx|photo|photography,efx|photography
34122,9,6,1,0.111,0.167,0.133,0.333,0.333,0.333,data|not your <app> data|only use|password|password protect wifi|phone|tab|tablet|wifi,app data|dark mode|lock|search bar|settings|wifi
34137,11,5,2,0.182,0.4,0.25,0.455,0.4,0.426,ad|ads|fullscreen ads|good app|latest version|need|overall the fullscreen ads|revenue|screen|tab|version,dark mode|exit|fullscreen ads|revenue|search bar
34531,9,3,3,0.333,1.0,0.5,0.444,1.0,0.615,ad|cash option|fare|money|payment|payment option show|paytm|same drop|some people,cash option|fare|payment
34985,4,1,0,0.0,0.0,0,0.25,1.0,0.4,ad|its trash|sign up|ur force,force sign up
36003,2,1,1,0.5,1.0,0.667,0.5,1.0,0.667,ad|ads,ads
36011,1,2,1,1.0,0.5,0.667,1.0,0.5,0.667,gallery,gallery|save
36315,9,5,3,0.333,0.6,0.429,0.333,0.6,0.429,any word|best app|feature|gallery|gif|more than wonderful app|one problem|parse error|perfect and splendid feature,dark mode|gallery|gif|parse error|search bar
36496,7,5,4,0.571,0.8,0.667,0.857,0.8,0.828,battery|battery repair|completion|cpu cooler|crash|entire <app> frequently crash|galaxy s7,battery repair|cpu cooler|crash|galaxy s7|nougat
38464,10,4,2,0.2,0.5,0.286,0.5,0.75,0.6,browser|clean sit|no more spam video|play|same pop|store|update|user> spam video|video|worser thing,browser|pop up|spam video|update
38696,1,2,1,1.0,0.5,0.667,1.0,0.5,0.667,video,video|write
39127,10,5,0,0.0,0.0,0,0.3,0.6,0.4,enough info|express|less us centric article|main bug bear|main reaction|mood|no way|stuff|update|way,indifferent|info|mood reaction|update frequency|us articles
39636,15,8,1,0.067,0.125,0.087,0.333,0.375,0.353,about trump|ad|all american focus|customization|every article|fashion celebrity junk|first three article|foreign paper|interest|international economics|not one article|politics|tab|total fail|world politics,articles|battery|customization|dark mode|international economics and politics|loading speed|search bar|world politics tab
39639,1,1,0,0.0,0.0,0,1.0,1.0,1.0,phone,phone speed
40051,4,3,1,0.25,0.333,0.286,0.25,0.333,0.286,accessability|digit|fix|somthing,accessibility setting|digit|enable
40287,1,1,0,0.0,0.0,0,0.0,0.0,0,too many change,launch
40293,4,3,2,0.5,0.667,0.571,0.5,0.667,0.571,clean boost|one app|phone|protection,clean boost|protection|virus
40859,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,crap,crap
40958,5,2,2,0.4,1.0,0.571,0.4,1.0,0.571,ad|advertisement|antivirus app|ui|user experience,advertisement|user experience
41217,5,3,3,0.6,1.0,0.75,1.0,1.0,1.0,purchase|standstill traffic|traffic update|traffic update work|update,purchase|standstill traffic|traffic update
41336,3,3,0,0.0,0.0,0,1.0,1.0,1.0,edit|its good edit app|save share option,edit app|save|share
41414,1,2,0,0.0,0.0,0,1.0,0.5,0.667,avatar type,change avatar|type
41834,5,4,2,0.4,0.5,0.444,0.8,0.5,0.615,camera|camera most of the time it|time|update|update camera,camera|performance|restarting|update
42284,3,3,2,0.667,0.667,0.667,1.0,1.0,1.0,edit|gallery|photo,edit|gallery|photo saving
42606,2,1,0,0.0,0.0,0,0.5,1.0,0.667,ad|video,download video
43358,10,4,3,0.3,0.75,0.429,0.8,1.0,0.889,blank black background|button|entire video|filter|filter button|moment|no idea|transparent background|video|video switch,background|filter button|transparent background|video
43803,7,6,2,0.286,0.333,0.308,0.286,0.333,0.308,inferior product|layout|money|most product|purchase|site|user> fan,dark mode|layout|product quality|purchase|reimbursement|search bar
45368,8,4,1,0.125,0.25,0.167,0.375,0.5,0.429,ad|another update|another update once again topic|content|no content|still absolute rubbish|topic|update,content|sort|topic don't load|unrelated
45632,6,4,1,0.167,0.25,0.2,0.5,0.75,0.6,horrible see|ios|italic memory management|new section|no such memory issue|otherwise a great app,flipboard|ios|memory management|whats new section
46020,4,2,0,0.0,0.0,0,1.0,1.0,1.0,edit|feature|more feature|photo,edit photo|more features
46205,17,7,3,0.176,0.429,0.25,0.412,0.714,0.522,1minute gap|ad|collage|edit|lag|layout|load|no crop option|or pic|pic|picture|problem|screen|single pic|time|update|work,collage|crop option|dark mode|layout|picture|search bar|white screen
47782,2,2,0,0.0,0.0,0,0.0,0.0,0,phone|phone moto,slowly|work
48811,4,3,0,0.0,0.0,0,0.75,1.0,0.857,account|glitch|seven character|username,create account|seven characters|username length
49195,8,2,2,0.25,1.0,0.4,0.375,1.0,0.545,amaze app|collage|grid|kudos|lag|no problem|problem until recently when it|very long time,collage|grid
49943,13,5,1,0.077,0.2,0.111,0.308,0.6,0.407,battery|change lock screen|everytime|inconvenience|one|original lock screen|other security battery saver|password|phone|phone lock|reason|screen|update,change|charging|lock screen|password|swipe
50584,1,4,0,0.0,0.0,0,1.0,0.75,0.857,uber customer care,call|care|customer|uber
50888,1,1,0,0.0,0.0,0,1.0,1.0,1.0,phone,phone speed
50991,18,2,0,0.0,0.0,0,0.0,0.0,0,ad|block|cab|car|co passenger's location|crime|driver|experience|his money|location|matter|note|passenger|self respect|some action|uber|uberpool car|worst experience,dark mode|search bar
51006,13,3,2,0.154,0.667,0.25,0.385,1.0,0.556,accidently close page|begin|bottom bar|close tab option|digit> star|last line|link|list|long press menu|menu|new tab|option|tab,bottom bar|close tab|long press menu
51161,1,2,1,1.0,0.5,0.667,1.0,0.5,0.667,design,back to store|design
51559,1,1,0,0.0,0.0,0,1.0,1.0,1.0,account,make account
52327,29,6,0,0.0,0.0,0,0.241,0.667,0.354,ad|all source|all sport|all sport source|all the overseas news source|all very few uk publication|category|domestic news|even country|football news|load|more local publication|more support|name|news|news source|no interest|one|origin|source organise|sport|sport publication|staffordshire's sentinel news|support|topic|uk medium coverage|uk news publication|website|z google,coverage|dark mode|local publication|overseas news source|search bar|sport source
52973,4,4,1,0.25,0.25,0.25,0.75,0.75,0.75,apps|gallery|photo|recent month,clean|erase photo|exclude apps|gallery
53630,3,4,2,0.667,0.5,0.571,0.667,0.5,0.571,any link|history|safety,history|open link|safety|touch back
53920,3,1,1,0.333,1.0,0.5,0.667,1.0,0.8,button|magic|option button,option button
54183,15,7,2,0.133,0.286,0.182,0.467,0.571,0.514,ad|constant <app> crash|crash|digit|digit> app|grade|great app|no response|phone|phone cooler|review|shame|site|update|upgrade,crash|dark mode|email|os upgrade|phone cooler|response|search bar
54426,7,5,2,0.286,0.4,0.333,0.286,0.4,0.333,ad|certain part|edit|eraser|image|size|variety,dark mode|edit|search bar|size|zoom
54551,2,1,1,0.5,1.0,0.667,1.0,1.0,1.0,search|search engine,search engine
54676,2,2,0,0.0,0.0,0,0.5,0.5,0.5,nice app|what news content,customize|news content
54690,6,3,0,0.0,0.0,0,0.0,0.0,0,ad|block|continous alarm|download|make|while,annoying alarm|dark mode|search bar
54743,15,9,2,0.133,0.222,0.167,0.4,0.556,0.465,ad|ads|background|battery|internet|its job|more battery run|no fake ads|only way|phone|popup ads|root download|such false advertise|such less memory hog|virus,ads|background processes|battery usage|dark mode|false advertise|greenify|popup ads|root access|search bar
55109,2,5,0,0.0,0.0,0,0.0,0.0,0,function expert|slow annoy,boost function|dark mode|search bar|speed|weight
55966,2,3,1,0.5,0.333,0.4,0.5,0.333,0.4,junk file bhi delete nhi krta|update,delete files|speed|update
56206,10,4,1,0.1,0.25,0.143,0.5,0.5,0.5,ad|browser|new version|not interest|phone|shortcut|shortcut app|some shortcut|version|very bad and ugly shortcut,appearance|hide|interest|shortcut
56349,7,4,1,0.143,0.25,0.182,0.286,0.5,0.364,application|digit|issue|people|some serious bug|trouble|update,bug|dark mode|search bar|update
56987,7,4,1,0.143,0.25,0.182,0.286,0.25,0.267,ad|email|five star|help|map|republic|use map,dark mode|map|search bar|separation
57064,15,8,3,0.2,0.375,0.261,0.4,0.5,0.444,ad|advertisement|afterwards information|battery|battery status|boost|change|format|guy|many advertisement|phone|phone status|temperature|very bad change|very disappoint change,advertisement|antivirus|battery status|boost scan|clean scan|dark mode|search bar|temperature
57317,11,4,2,0.182,0.5,0.267,0.364,1.0,0.533,any problem|background data|background data usage|data|digit|high amount|new phone|permission|phone|previous phone|sore disappointment,app data|background data|data usage|permission
57432,1,2,0,0.0,0.0,0,0.0,0.0,0,free swipe,inconsistently|swipe toggle
58134,1,3,0,0.0,0.0,0,0.0,0.0,0,moderation,dark mode|search bar|settings
58501,11,4,0,0.0,0.0,0,0.182,0.5,0.267,digit> minute|driver's <digit> minute|fee|fix|new update|no way|one spot|pay|ride|some driver|update,driver location|fee charging|request time|ride cancellation
58523,5,3,0,0.0,0.0,0,0.0,0.0,0,actress gossip stuff|garbage|help|htc thing|rapper,dark mode|search bar|uninstall
58807,4,2,0,0.0,0.0,0,0.25,0.5,0.333,battery|instal|more battery|phone,app|battery consumption
59095,5,4,1,0.2,0.25,0.222,0.8,0.75,0.774,ad|battery|battery life|many sim card error|terrible app,app|battery life|scan|sim card error
60038,6,4,2,0.333,0.5,0.4,0.5,0.75,0.6,correct time|difficulty|digit|example|only <digit> star|video,automatic change|correct time|cut video|difficulty
60320,12,6,3,0.25,0.5,0.333,0.583,0.833,0.686,ad|blank screen|button|confirm button|destination|force|n't event|payment|payment method|ride|screen|ui,blank screen|destination|force quit|get a ride|not respond|payment method
60726,21,14,4,0.19,0.286,0.229,0.333,0.429,0.375,ad|age limit|agree|article|bunch|chance|child|computer|contact|digit|fun|news source|others|own magazine|parent|parental permission|reader|some very young people|tab|tablet|teen,age limit|article|dark mode|disagree|investigate|like|magazine|news source|parental permission|search bar|settings|supervise|threaten|write
61073,17,4,1,0.059,0.25,0.095,0.176,0.75,0.286,17th|actual driver|another driver|application|digit> minute|driver|edit|experience|hartebeespoort march|old credit card detail|option|peak time|rush|screen|show arrival time|their driver|whose time,arrival time|driver behavior|peak time|service availability
62183,6,7,1,0.167,0.143,0.154,0.333,0.286,0.308,ad|face|more colour|one problem|option magic|process,colour|dark mode|decrease|increase|option magic|search bar|settings
62386,8,4,3,0.375,0.75,0.5,0.625,0.75,0.682,ad|ads|advertise|battery|battery app|screen|some bs screen|worst app,ads|battery|pop up|screen
62727,3,2,2,0.667,1.0,0.8,1.0,1.0,1.0,flow|recent update|update,flow|update
62839,7,4,0,0.0,0.0,0,0.571,0.75,0.649,app zero star|apps|background|digit> apps|every two minute|feed|feedback,ignore feedback|optimize|run background|stop apps
63002,1,1,0,0.0,0.0,0,1.0,1.0,1.0,site,site opening
63010,3,2,0,0.0,0.0,0,0.667,0.5,0.571,ad|adjust|tool,adjust tool|speed
63223,6,3,1,0.167,0.333,0.222,0.833,1.0,0.909,app crash|crash|edit|entire phone|phone|pic,app crash|phone crash|pic editing
63558,4,4,0,0.0,0.0,0,0.0,0.0,0,ad|nice application|promots|so less one star,dark mode|promotions|search bar|settings
63986,1,1,0,0.0,0.0,0,0.0,0.0,0,not user,user friendly
64054,1,2,1,1.0,0.5,0.667,1.0,0.5,0.667,choice,choice|forced use
64270,5,5,1,0.2,0.2,0.2,0.4,0.4,0.4,ad|addition|another reviewer|photo|their advertise,advertise|clunkiness|friendliness|photo|usability
65230,1,1,0,0.0,0.0,0,0.0,0.0,0,phone,shut off
65919,12,6,2,0.167,0.333,0.222,0.333,0.5,0.4,ad|bottom|icon|just a little icon|library|many thing|many thing the update|random sticker|search|sticker|stuff|update,dark mode|frame|library|search bar|settings|sticker
66148,13,9,6,0.462,0.667,0.545,0.538,0.778,0.636,ad|build number|city|house number|info bar|map|miss address|place|search|time|time it|tip|ui,build number|city|dark mode|house number|info bar|map|miss address|navigation|search bar
66295,3,1,1,0.333,1.0,0.5,0.333,1.0,0.5,its not work|its suck|update,update
66394,5,6,0,0.0,0.0,0,0.2,0.167,0.182,active application|android samsung user|app> malaware|company|to instal look,application|dark mode|installation|malware|search bar|uninstall
66584,1,2,0,0.0,0.0,0,0.0,0.0,0,its always show,confirmation|lock function
67219,14,5,0,0.0,0.0,0,0.214,0.6,0.316,account|ad|apps|article|bank account|device|harm|many useless article|other user|point|point that i|purchase|sight|way,download apps|harmful site|redirect|uninstall|useless articles
67234,4,3,1,0.25,0.333,0.286,1.0,0.667,0.8,edit|edit save option|picture|update,edit save option|internet connection|picture update
67328,3,3,2,0.667,0.667,0.667,0.667,0.667,0.667,requirement|ui|update,<app>|requirement|update
67475,7,4,2,0.286,0.5,0.364,0.714,0.75,0.732,almost a month|awesome app|crash|most recent update|permanent delete|self crash|update,app performance|crash|permanent delete|recent update
67528,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,mail,mail
68048,17,5,0,0.0,0.0,0,0.176,0.6,0.273,edit|even the quality|filter|first week|good app|help|instal|just one thing|make|message|opps|photo|problem|tab|tablet|usage|week,app behavior|book cover|filter font|installation|photo quality
69022,17,7,5,0.294,0.714,0.417,0.471,0.857,0.608,ad|alreadi dun this|app> frustrate|app> upload|box|complete waste|edit|gallery|hop|money|offer|purchase|some time edit|step|time|unlimited min|unlimited min wuldnt,box|edit|facebook|gallery|purchase|unlimited min|upload
69821,5,4,2,0.4,0.5,0.444,0.6,0.5,0.545,interest theme|nice application|phone|theme|wallpaper,dark mode|search bar|theme|wallpaper
70201,14,6,1,0.071,0.167,0.1,0.286,0.5,0.364,ad|detail|greek island holiday|home|issue|latest update|matter|pain|route|support|support team|update|vladimir|yesterday update,back from holiday|home route|km length|route to greece|support team|tomtom
70370,2,1,1,0.5,1.0,0.667,0.5,1.0,0.667,ad|flash,flash
70502,5,2,1,0.2,0.5,0.286,0.6,1.0,0.75,ad|ads|more than half the screen|screen|too many ads,ads|screen coverage
70583,1,2,0,0.0,0.0,0,1.0,0.5,0.667,much control,control|installation
70601,4,4,1,0.25,0.25,0.25,0.5,0.5,0.5,cab|driver|driver say the cab|engine,cab service|distance|engine|further
70657,10,3,1,0.1,0.333,0.154,0.4,1.0,0.571,account|any response|digit|lock screen|no option|one side news source|option|repeat request|screen|website,delete account|lock screen|news source
70834,3,1,1,0.333,1.0,0.5,0.333,1.0,0.5,from specific source|specific source|update,update
71915,4,1,1,0.25,1.0,0.4,0.5,1.0,0.667,ad|ads|annoy ads|stupid app,annoy ads
72195,17,4,2,0.118,0.5,0.19,0.235,1.0,0.381,ad|app be tricky you|at least <digit> star|best gui|better'n|destination|digit> hour|digit> star|direction|loose voice|never <digit> star|one|road|support|thus <digit> star|ui|user manual,gui|support|user manual|voice
72375,9,4,2,0.222,0.5,0.308,0.444,0.75,0.558,big and strong company|good and funcional app|message|phone|phone unlock|pic|pocket|trouble|ur logic,functionality|logic|message|phone unlock
72681,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,account|sign in,account|sign in
74202,10,4,0,0.0,0.0,0,0.4,0.75,0.522,background|bay|notification|operation|operation and the setting|phone|ram|setting|ui|unnecessary notification,background operations|intrusiveness|notifications|settings
74289,2,2,0,0.0,0.0,0,0.5,0.5,0.5,icon|no clue,automatic removal|tap boost icon
75088,4,4,1,0.25,0.25,0.25,0.5,0.5,0.5,ad|fabulous app|feature|pic,dark mode|debluring pic|feature|search bar
75545,5,4,0,0.0,0.0,0,0.8,0.75,0.774,ad|ads|auto|tab|video,auto play|unacceptable|uninstalled|video ads
75791,11,4,1,0.091,0.25,0.133,0.182,0.5,0.267,ad|best regard|clipboard|heavy torrent user|link|only one thing|option|rat|trouble|uc development team|update,clipboard|dark mode|link opening|search bar
75941,2,2,0,0.0,0.0,0,0.5,0.5,0.5,ad|any software,adapt|software
