cluster_id,auto_name,review_1,review_2,review_3,review_4,review_5,operation_KEEP_RENAME_MERGE_SPLIT,new_name_if_RENAME,merge_target_cluster_id_if_MERGE,split_note_if_SPLIT
c_00189,usability: virus / battery / device,easy to detect virus .,great and run smoothly in <app> with 512mb ram,it make my phone more faster than ever .,i love this <app> it remove <digit> virus off my phone quickly .,maybe it's my phone but i haven't notice any improvement in performance . and way too much clutter for <app>,,,,
c_00160,usability: map / navigation / gps,use it for my first time high way . i'm glad i know be i be go . it doesn't even say which <app> your exit be . it just have its name on the bottom of the screen that's it . good job with speed limit though that be very accurate . developer should really use this app to get some where so they can se,i only use it because of the offline capability . as i travel a lot i need a map app that work offline . the <app> frequently aren't very accurate and only very few poi . but it do its job more or less . if i have access to data i prefer to use <app> instead of this app .,app be easy to use but the service have become very horrible . even for 10km they charge rs . <digit> ridiculous .,this app can do thing correctly when other famous free application s fail . it be capable of calculate long journey truly optimise road for long distance . however some basic feature be chargeable . in comparison to here drive app loose . same about price more expensive . i recon app need special an,pretty good and memory friendly app . i test <digit> navigation <app> and this one have a lot of useful feature and you can also set if it should install map's on internal or external memory i will keep this app and after the trial end i will buy the premium traffic package because for this feature ,,,,
c_00100,feature_request: digit> star / option / edit,i can give u full <digit> rat but u should give all the effect and feature and all stuff unlock . some of the thing be pay and we have to purchase it . so i be little disappoint . fix to get hole rat . thank u .,i would give it <digit> star if i could . the effect suck and dont look any of the picture provide .,i recommend to add effect like <app> snow or b612 to this <app> then i would give <digit> star,stop ask <app> to rate <app> <digit> star . it stick at time .,if i could give this zero star i would it change everything in my phone it take <app> forever to find the <app> and delete it .,,,,
c_00158,performance: speed / lag / tab,<digit> soley on <user> rate of falure due to insufficient ram speed on my phone .,<digit> slow,run very slow on note <digit> not sure of the reason . my other <app> don't lag as much as this one .,it's not what it use to be service degrade from past <digit> month .,this <app> reinstall <digit> time check the difference .,,,,
c_00047,bug_report: notification / push notification / message,i use to really love this app but their notification have become a real pain in the butt ! i turn them off and i still get interrupt on my activity . seriously i know how to work the app but this be ridiculous .,i have use this a lot but i have turn of all notification . now they be mysteriously always on so i have no other choice than to uninstall and disable this bloatware . well play . update to your answer i have try everyting and i still get notification i have also disable this piece of crap but it tu,suddenly start receive push notification again even though i turn off all push notification in the setting .,i can't clear my notification it doesn't work properly please solve this problem it be show enable it but it be already enable otherwise it be best app .,great app but can't clear the notification number on the app icon even after clear all message .,,,,
c_00142,performance: download speed / speed / download,too slow to download,it can't open urorrent website . take too much ram when run .,please help . i dont know why download speed decreses to 2kb s when i lock my mobile .,download forever .,download be so slow sometime not work any website .,,,,
c_00124,performance: lag,a bite laggy while browse file .,cause many virus .,it be lag .,delay refresh .,this make thing even more worse and more laggy .,,,,
c_00096,feature_request: option,this <app> be perfect until all the garbage add be incorporate . uninstalled .,why would anyone want this utter shite on their phone ? it's ridiculous that's it's bundle with samsung phone every phone be get i have to disable it . ya prick .,great <app> but at least try to make it not be delete by someone on phone set also without password .,what a waste of space . <app> i could un install it .,still wait for the option to be able to uninstall this piece of crap ! hello ? !,,,,
c_00144,performance: too many ads / battery / too much ads,too many ads and slow .,too much ads .,too much ads . uninstalled .,ads everywhere ! ads drain your battery fast thus this app drain your battery more than if you weren't use it . never hear of malicious ad channel either . as a developer you get to choose which kind of ads display in your app . in addition most stock android system be already hugely optimize and yo,this <app> completely bombard you with ads nobody want to see these ads which repeatedly interupt your home screen . add to that the fake button in the <app> to switch ads off merely switch itself back on when after you switch it off ! this be a severely power hungry <app> that do nothing more than ,,,,
c_00101,feature_request: help / ui,very use full ill give <digit> str with more effecsts and improve ment .,useful but limit to <digit> topic and must pay for some article .,im give it <digit> start cause it say that it have <digit> when i click it say no item,the <digit> . <digit> . <digit> be nice menu display operation . the <digit> . x . x . be illogical . <app> back to <digit> . <digit> . <digit> or allow the <digit> . <digit> . <digit> to work with update chart .,rubbish you have to slide your home page and also there be a s <app> which cover your page . <app> i could rate <digit> .,,,,
