text,rating,app_id,labels,source,original_label,subtype
have this instal on a samsung galaxy note edge marshmallow google nexus <digit> marshmallow asus memo pad <digit> me572c kitkat and google nexus <digit> marshmallow . chromecast support be break after a recent previous update . the es chromecast plugin get initialize on the chromecast side but file playback never start . last work version be <digit> . <digit> . <digit> . <digit> . current version <digit> . <digit> . <digit> . <digit> still doesn't work . please fix ! thank in advance !,3,com.estrongs.android.pop,compatibility,rrgen_mined_compat,bug_report,
My Pixel 4a can't run this app at all. Crashes within 2 seconds.,2,com.spotify.music,compatibility,synthetic_compat_v2,,device
Force closes since I updated to Android 7 Nougat.,2,com.ubercab,compatibility,synthetic_compat_v2,,os
Not optimized for tablet. Looks terrible and elements overlap.,1,com.facebook.katana,compatibility,synthetic_compat_v2,,screen
but the camera hang a lot and literally i'm not able to take any photo not just in my phone but in some of my friend phone also . we've try it on galaxy s6 htc one htc desire lenovo k3note motorola g4 turbo xiaomi note <digit> . hog up a lot of ram too <user>,3,com.picsart.studio,compatibility,rrgen_mined_compat,bug_report,
after update keep act extremely slow . and sometimes i get nothing but a black screen . samsung galaxy s7 edge .,3,com.waze,compatibility,rrgen_mined_compat,bug_report,
App crashes constantly after upgrading to EMUI 11.,1,com.spotify.music,compatibility,synthetic_compat_v2,,os
Broken on EMUI 11. Was fine before the update.,2,com.twitter.android,compatibility,synthetic_compat_v2,,os
"Installed on Samsung Galaxy S23, app shows 'device not compatible' even though specs are fine.",3,com.ubercab,compatibility,synthetic_compat_v2,,device
Worked fine on the previous OS but Android 12 broke everything.,1,com.spotify.music,compatibility,synthetic_compat_v2,,os
my device model it's samsung galaxy s7 edge and ram be 4gb i cant download magic ai filter it be fix when i first complain but again its disturb .,1,com.picsart.studio,compatibility,rrgen_mined_compat,bug_report,
again the same problem . the voice get distort again and again when ever i record a song . it start happen today 20th sep and i be very displease to face this problem again . please fix this soon . <digit> october <digit> i be add to my previous review . even after the update the issue remain . still distort sound come after record in some samsung galaxy device and huawei device . after record i sound like a robot . i be expect this matter will be solve with an update but still it remain .,1,com.smule.singandroid,compatibility,rrgen_mined_compat,bug_report,
it continue to say no network connection when i try to get on my phone after use <app> smart lock . this be with the most recent update . samsung galaxy s8 . erase my email address and all of my account information .,3,com.waze,compatibility,rrgen_mined_compat,bug_report,
Tried on Vivo V25 and the app is completely broken. Black screen on open.,1,com.netflix.mediaclient,compatibility,synthetic_compat_v2,,device
Doesn't work properly on Sony Xperia 1. Force closes every time I open it.,1,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,device
it constantly freeze ! update answer to the developer your suggestion doesn't work at all . it still keep freeze constantly . updtae2 and it keep freeze constantly again and again no matter what i do . i have a galaxy s6 with marshmallow .,1,flipboard.app,compatibility,rrgen_mined_compat,bug_report,
"Since Android 12 update, app won't even open.",1,com.instagram.android,compatibility,synthetic_compat_v2,,os
Doesn't work properly in Galaxy Fold. Half the UI is missing.,3,com.airbnb.android,compatibility,synthetic_compat_v2,,screen
Doesn't work properly on Pixel 4a. Force closes every time I open it.,1,com.spotify.music,compatibility,synthetic_compat_v2,,device
Doesn't work properly on Vivo V25. Force closes every time I open it.,1,com.airbnb.android,compatibility,synthetic_compat_v2,,device
constantly crash on my samsung galaxy tab s2 run <app> <digit> . <digit> .,2,flipboard.app,compatibility,rrgen_mined_compat,bug_report,
"On my tablet, the interface is misaligned and unusable.",3,com.snapchat.android,compatibility,synthetic_compat_v2,,screen
keep crash after last update . as soon as you jump into another app or home screen or lock the screen and then <app> back to it the entire <app> freeze and restart the launcher . samsung galaxy s8 <app> <digit> .,1,com.sygic.aura,compatibility,rrgen_mined_compat,bug_report,
App keeps crashing on my Xiaomi Redmi Note 12. Worked fine on my old phone.,1,com.twitter.android,compatibility,synthetic_compat_v2,,device
Specifically broken on Oppo Reno 8 — works on every other phone I've tried.,1,com.instagram.android,compatibility,synthetic_compat_v2,,device
Cannot install this app on my Google Pixel 6. Says my device is not supported.,3,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,device
make my phone overheat all the time now especially when charge . since the last <digit> update it have also slow down my phone and start to cause lot of other problem . once i uninstalled the app my phone have start to work normally again and stop overheat . such a shame because this be a good app with lot of useful feature now it's a battery phone killer . samsung galaxy s5 .,1,com.cleanmaster.mguard,compatibility,rrgen_mined_compat,bug_report,
keep crash on my t mobile samsung galaxy s7 .,1,com.google.android.apps.magazines,compatibility,rrgen_mined_compat,bug_report,
App is not optimized for Huawei P30. UI is cut off and buttons don't work.,2,com.snapchat.android,compatibility,synthetic_compat_v2,,device
Specifically broken on Samsung Galaxy S23 — works on every other phone I've tried.,1,com.spotify.music,compatibility,synthetic_compat_v2,,device
i use to love <app> but now i'm not able to get to the draw portion of this app since the new update . it do not give me the option to do so it only go straight to the photo i already have on my tablet . samsung galaxy pro <digit> . <digit> if you can help me figure it out i will give it <digit> star .,1,com.picsart.studio,compatibility,rrgen_mined_compat,bug_report,
"Installed on Oppo Reno 8, app shows 'device not compatible' even though specs are fine.",1,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,device
App is not optimized for Samsung Galaxy S23. UI is cut off and buttons don't work.,3,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,device
after read through the description and help section i learn that my phone samsung galaxy s5 be miss the ability to select how many people you need to take so i cannot order a ride . very dissapointed that they don't support a phone that isn't all that old .,1,com.ubercab,compatibility,rrgen_mined_compat,bug_report,
"Installed on Huawei P30, app shows 'device not compatible' even though specs are fine.",2,com.king.candycrushsaga,compatibility,synthetic_compat_v2,,device
App stopped working after the Android 13 update.,1,com.twitter.android,compatibility,synthetic_compat_v2,,os
since i have update mx player it's have brightness issue if i do full brightness it go down and if i stop brightness at <digit> level it work ok . so please fix this issue in next update . it's not compatible with marshmallow update .,4,com.mxtech.videoplayer.ad,compatibility,rrgen_mined_compat,bug_report,
it doesn't seem to be compatible with my samsung galaxy tab s2 .,4,com.cleanmaster.mguard,compatibility,rrgen_mined_compat,bug_report,
Not compatible with Android 11. Keeps erroring out.,3,com.ubercab,compatibility,synthetic_compat_v2,,os
have try to download this app on my samsung galaxy s3 <digit> time but keep get invalid package message !,1,com.roidapp.photogrid,compatibility,rrgen_mined_compat,bug_report,
Not optimized for foldable phone. Looks terrible and elements overlap.,1,com.airbnb.android,compatibility,synthetic_compat_v2,,screen
if i could give it <digit> star i would but since the last update for my samsung galaxy s7 i cannot even open the app please fix and let me know when do . thank you for the fix much better .,5,com.google.android.music,compatibility,rrgen_mined_compat,bug_report,
App crashes constantly after upgrading to Android 10.,2,com.king.candycrushsaga,compatibility,synthetic_compat_v2,,os
Tried on Huawei P30 and the app is completely broken. Black screen on open.,2,com.instagram.android,compatibility,synthetic_compat_v2,,device
crash again and again on samsung galaxy s4 i9500 . it be work soomthly but after update its not work and crash again and agai .,2,com.picsart.studio,compatibility,rrgen_mined_compat,bug_report,
seit dem letzten update funktioniert die app auf meinem samsung galaxy s5 android version <digit> . <digit> leider so gut wie gar nicht mehr und meldet st ndig fehler,2,com.picsart.studio,compatibility,rrgen_mined_compat,praise,
Not optimized for Z Flip. Looks terrible and elements overlap.,1,com.snapchat.android,compatibility,synthetic_compat_v2,,screen
"Login screen never loads on Samsung Galaxy S23. Tried reinstalling, same issue.",1,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,device
Not compatible with OneUI 5. Keeps erroring out.,3,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,os
App is not optimized for Samsung Galaxy S23. UI is cut off and buttons don't work.,2,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,device
since my samsung galaxy s7 be root and after select this root feature my device keep boot as soon as i try to open <app> . be already worry to damage my phone cause of all these unexpected reboot so that i have to uninstall it .,1,com.qihoo.security,compatibility,rrgen_mined_compat,bug_report,
Used to love this app but Android 11 update killed it for me.,3,com.whatsapp,compatibility,synthetic_compat_v2,,os
MIUI 13 user — app is unusable since the update.,3,com.snapchat.android,compatibility,synthetic_compat_v2,,os
Cannot install this app on my Motorola Edge. Says my device is not supported.,3,com.snapchat.android,compatibility,synthetic_compat_v2,,device
"Since Android 10 update, app won't even open.",3,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,os
samsung galaxy s7 edge . with new nougat update phone cooler <app> will not work which be pretty bad . and read through other review other people with same device be have same issue with phone cooler . it only cool one <app> from the check list then crash it also have recently start to blackout my phone when cooler <app> be use ? exclusive clean won't work keep crash too ? need a fix for nougat software maybe ?,3,com.qihoo.security,compatibility,rrgen_mined_compat,bug_report,
keep crash on my galaxy s8 after the last update so frustrate .,2,flipboard.app,compatibility,rrgen_mined_compat,bug_report,
pitiful ! i have <app> on the background run yet <user> picture cannot be save . process . even my stock camera can save image . fix please so annoy samsung galaxy s5 on marshmallow android <digit>,2,com.venticake.retrica,compatibility,rrgen_mined_compat,bug_report,
"Installed on Google Pixel 8, app shows 'device not compatible' even though specs are fine.",2,com.twitter.android,compatibility,synthetic_compat_v2,,device
Login broken since Android 9. Stuck on loading screen forever.,2,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,os
App is not optimized for Realme 9. UI is cut off and buttons don't work.,1,com.facebook.katana,compatibility,synthetic_compat_v2,,device
Used to love this app but EMUI 11 update killed it for me.,3,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,os
it work almost fine until last september . than it start crash after i take a couple of pic . it get fix with one of the past update but it be back to crash after a couple more month . now i have update to the latest update and not mind the new ui that i still have to truly experience but my front camera be not work anymore it work with my default camera app . i be run the latest version of the <app> on a samsung galaxy s4 with cyanogenmod <digit> as os . after restart the device it work again .,3,com.venticake.retrica,compatibility,rrgen_mined_compat,bug_report,
"foldable phone layout issues — text gets cut off, can't tap buttons.",2,com.netflix.mediaclient,compatibility,synthetic_compat_v2,,screen
"After updating to OneUI 5, half the features stopped working.",2,com.facebook.katana,compatibility,synthetic_compat_v2,,os
hang with blank white screen every time after the first time . app do not work . i'm uninstalling . android <digit> . <digit> samsung galaxy s6 sm g920a .,1,com.mapfactor.navigator,compatibility,rrgen_mined_compat,bug_report,
ColorOS 12 user — app is unusable since the update.,1,com.twitter.android,compatibility,synthetic_compat_v2,,os
Android 14 user — app is unusable since the update.,2,com.ubercab,compatibility,synthetic_compat_v2,,os
Worked fine on the previous OS but OxygenOS 13 broke everything.,2,com.twitter.android,compatibility,synthetic_compat_v2,,os
App keeps crashing on my Samsung Galaxy Note 20. Worked fine on my old phone.,3,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,device
hi <digit> antivirus developer team . this be irritate update last update in <digit> . when i boot my device a scan screen be pop up that be develop by <digit> antivirus team . one more when i <app> to clean it remove more data for my device samsung galaxy it's be more than 200mb all the time since <digit> . so much load since this update come up too . i suggest you please fix this issue soon . and boost process must be in background when we click on that . this should not be open any <digit> scan or clean screen . in <digit> most of all update be good . this be as worst i have in <digit> update antivirus <app> team be update it time to time but there be no improvement after update . its secure the data but no improvement still in performance .,1,com.qihoo.security,compatibility,rrgen_mined_compat,bug_report,
Switching to Galaxy Fold crashes the app every time.,2,com.facebook.katana,compatibility,synthetic_compat_v2,,screen
initially love this app so much that i pay for premium on the return leg of the first journey i'd use it on but after a year of use i'm find i need to use my dedicate satnav more often which defeat the point . it's generally be ok for short journey but on the <digit> longest drive i've have the app keep crash lose the route and come up with bizarre new route suggestion mid drive that supposedly avoid traffic but end up in worse traffic luckily i know beforehand and could ignore edit as need be . it also have a habit of force a map update at the least appropriate time but at the end of the day the worst issue be the random app crash and route deletion mid drive . i'll just add in reference to the response from the developer that the first time i have a major issue with this app keep drop the route mid drive be last october on my galaxy s5 and it's still do the same on long journey <digit> month later galaxy s6 this time .,2,com.sygic.aura,compatibility,rrgen_mined_compat,bug_report,
Worked fine on the previous OS but Android 14 broke everything.,3,com.spotify.music,compatibility,synthetic_compat_v2,,os
"Since Android 8.0 Oreo update, app won't even open.",2,com.twitter.android,compatibility,synthetic_compat_v2,,os
i have to drop the rat from a <digit> to a <digit> after the latest update . junk cleaner lock up when i run it also keep say my photo will fail even though i have delete over 1gb of video from my sd card . it never say that before . not sure if this be due to upgrade to marshmallow but the photo issue be do that before marshmallow update . this be on a samsung s5 on verizon .,3,com.cleanmaster.mguard,compatibility,rrgen_mined_compat,bug_report,
Please add proper foldable phone support. Currently unusable on it.,1,com.netflix.mediaclient,compatibility,synthetic_compat_v2,,screen
re edit mon 8th may <digit> the <app> have get considerably worse . every day <digit> time a day force close . the clean option have stop work . definitely go to leave and find a different anti virus software . edit i originally give this <app> <digit> star lower it to <digit> star as i keep get <app> up ads . i have since lower it to <digit> star as the <app> keep force close and send error report and <app> relaunches and the exclusive clean doesn't work on my samsung s7 . i have mail but no answer hence the <digit> star . please fix . think of leave .,1,com.qihoo.security,compatibility,rrgen_mined_compat,bug_report,
"Login screen never loads on Realme 9. Tried reinstalling, same issue.",2,com.instagram.android,compatibility,synthetic_compat_v2,,device
Cannot install this app on my Google Pixel 6. Says my device is not supported.,1,com.instagram.android,compatibility,synthetic_compat_v2,,device
Doesn't work properly in Z Flip. Half the UI is missing.,3,com.whatsapp,compatibility,synthetic_compat_v2,,screen
App crashes constantly after upgrading to EMUI 11.,2,com.instagram.android,compatibility,synthetic_compat_v2,,os
App keeps crashing on my Samsung Galaxy S23. Worked fine on my old phone.,1,com.instagram.android,compatibility,synthetic_compat_v2,,device
Doesn't work properly on Xiaomi Redmi Note 12. Force closes every time I open it.,1,com.snapchat.android,compatibility,synthetic_compat_v2,,device
guy you advertise this app say it have dash cam as a feature well it doesn't work on my samsung galaxy s7 and that's partly why i purchase this app over use <app> for free ! the video either don't record at all or record in an unplayable format .,3,com.sygic.aura,compatibility,rrgen_mined_compat,bug_report,
be a great booster for my phone but recent update have get my samsung galaxy a7 duo <digit> lag and freeze ! have bin use du <app> since i buy my first <app> device but this new update be not help ! i will have to uninstall to save my device . will come check again if any improvement to this <app> but for now . uninstalling !,1,com.dianxinos.optimizer.duplay,compatibility,rrgen_mined_compat,bug_report,
"App freezes on Motorola Edge. Other apps work fine, just this one.",3,com.king.candycrushsaga,compatibility,synthetic_compat_v2,,device
keep crash on my s7 after update,5,com.google.android.music,compatibility,rrgen_mined_compat,bug_report,
"Login screen never loads on Vivo V25. Tried reinstalling, same issue.",1,com.snapchat.android,compatibility,synthetic_compat_v2,,device
Login broken since EMUI 11. Stuck on loading screen forever.,3,com.airbnb.android,compatibility,synthetic_compat_v2,,os
i'm get an error when download brazil's map ! download stop at <digit> ! this error happen on both my samsung galaxy s6 and lg g3 ! please help !,3,com.sygic.aura,compatibility,rrgen_mined_compat,bug_report,
after last update the gps be not work first time we open the app . but if we manually select location then it be show gps location . first think this may be my phone issue oneplus one . but same issue face by my colleague use redmi note <digit> . team please check this .,4,com.ubercab,compatibility,rrgen_mined_compat,bug_report,
i try to send this email which fail to send hi guy just want to report the magic and lens flare function have stop work after the last update . on galaxy s5 active . hope this info help . cheer scott george send via the samsung galaxy s <digit> active an at 4g lte smartphone .,5,com.picsart.studio,compatibility,rrgen_mined_compat,bug_report,
Not compatible with Android 8.0 Oreo. Keeps erroring out.,1,com.spotify.music,compatibility,synthetic_compat_v2,,os
there's <user> problem with the widget load after <user> restart since the new update . when i restart my device galaxy s5 marshmallow <digit> . <digit> . <digit> your widget on my home screen say problem load widget then it load the <app> search bar dunno why it do that then <digit> second later your widget load . upadte your <app> be also cause screen overlay problem . uninstalled problem solve,1,com.dianxinos.optimizer.duplay,compatibility,rrgen_mined_compat,bug_report,
love this app and now it just wont open and if it do it close very shortly after . uninstalling and reinstall didnt help . use on galaxy s7 please fix so i can give <digit> star . update on <digit> it still wont stay open .,1,com.gau.go.launcherex,compatibility,rrgen_mined_compat,bug_report,
"On my small screen device, the interface is misaligned and unusable.",3,com.facebook.katana,compatibility,synthetic_compat_v2,,screen
App is not optimized for Google Pixel 8. UI is cut off and buttons don't work.,3,com.snapchat.android,compatibility,synthetic_compat_v2,,device
App is not optimized for Huawei P40. UI is cut off and buttons don't work.,1,com.spotify.music,compatibility,synthetic_compat_v2,,device
Crashes only on my Samsung Galaxy A52 — my friend's iPhone runs it fine.,1,com.king.candycrushsaga,compatibility,synthetic_compat_v2,,device
Crashes only on my Motorola Moto G — my friend's iPhone runs it fine.,1,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,device
App keeps crashing on my Vivo V25. Worked fine on my old phone.,1,com.facebook.katana,compatibility,synthetic_compat_v2,,device
bro . i use it from samsung galaxy s duo model phone mean from <digit> i already use it as defaul launcher as <app> launcher . but after that whenever device lock and when i unlock it's <app> to company launcher . so der be a bug . or some problem . with this model . i use it in galaxy s duo galaxy ace duo galaxy grand htc <digit> htc <digit> redmi <digit> prime redmi 3s redmi note <digit> sony xperia c5 ultra vivo v5 plus and now oppo f3 plus . so now it's not work well with oppo f3 plus and same problem in redmi 3s . so please solve the issue by default launcher set it to <app> launcher . but whenever device be lock and when i unlock it . it's go to oppo company launcher .,1,com.gau.go.launcherex,compatibility,rrgen_mined_compat,bug_report,
App stopped working after the Android 14 update.,1,com.king.candycrushsaga,compatibility,synthetic_compat_v2,,os
Force closes since I updated to Android 12.,2,com.spotify.music,compatibility,synthetic_compat_v2,,os
"App freezes on OnePlus Nord. Other apps work fine, just this one.",1,com.instagram.android,compatibility,synthetic_compat_v2,,device
Android 14 user — app is unusable since the update.,1,com.instagram.android,compatibility,synthetic_compat_v2,,os
after samsung update on my note <digit> my phone go into an infinite reboot loop . have to send it to the service centre where they tell me it be incompatible with <app> launcher hence cause the crash . have to reset my phone to factory setting . lose all my data . be use this app for the last 4yrs . love the interface and hope to see it update to suit the lollipop ver <digit> . <digit> .,3,com.gau.go.launcherex,compatibility,rrgen_mined_compat,bug_report,
still no fix for the sign in error . still get the message there be an internal error please try restart the app . since its still not fix download <app> app from galaxy store version <digit> . <digit> . <digit> . 19c17 . it be an older version but atleast it work . i follow your instruction after contact you reinstall the app do not work . the only thing that work for me be the older version . i be use a samsung galaxy s7 edge on latest firmware and update .,1,com.ebay.mobile,compatibility,rrgen_mined_compat,bug_report,
Force closes since I updated to Android 13.,1,com.facebook.katana,compatibility,synthetic_compat_v2,,os
after the last update the clone option doesn't work anymore it's totally break . please fix it as soon as possible . samsung galaxy s5 .,1,com.picsart.studio,compatibility,rrgen_mined_compat,bug_report,
Cannot install this app on my Asus ROG Phone. Says my device is not supported.,1,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,device
not work in samsung galaxy j7 . after upgrade lolypop to marshmallow it's not work in my <app>,2,com.sygic.aura,compatibility,rrgen_mined_compat,bug_report,
i don't know what happen but it can't clean junk save battery life boost the phone and cool down . i really need you to fix this problem and the phone that i'm use be a samsung galaxy s6 edge . thank you .,3,com.cleanmaster.mguard,compatibility,rrgen_mined_compat,bug_report,
"Login screen never loads on Sony Xperia 1. Tried reinstalling, same issue.",1,com.facebook.katana,compatibility,synthetic_compat_v2,,device
My Samsung Galaxy A52 can't run this app at all. Crashes within 2 seconds.,1,com.whatsapp,compatibility,synthetic_compat_v2,,device
over the year this be get better . it have be slim down tremendously and i be love it all over again . samsung galaxy s6 . the aop center that be instal really do not need to be there consider <user> have the play store . it be <user> waste of space just when i be really begin to like this again .,2,com.gau.go.launcherex,compatibility,rrgen_mined_compat,praise,
crash on my samsung galaxy note <digit> . <digit> on startup .,1,com.sygic.aura,compatibility,rrgen_mined_compat,bug_report,
i'm on nougat beta galaxy s7 t mobile . everythong work fine . now i can't do anything . i get the oops error when try to start a new project .,1,com.picsart.studio,compatibility,rrgen_mined_compat,bug_report,
since last update it doesnt load crash and force close . ics <digit> . <digit> samsung galaxy s duo .,1,com.ubercab,compatibility,rrgen_mined_compat,bug_report,
App crashes constantly after upgrading to OneUI 5.,3,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,os
Cannot install this app on my Xiaomi Mi 11. Says my device is not supported.,3,com.netflix.mediaclient,compatibility,synthetic_compat_v2,,device
App keeps crashing on my Motorola Edge. Worked fine on my old phone.,3,com.airbnb.android,compatibility,synthetic_compat_v2,,device
Tried on Realme 9 and the app is completely broken. Black screen on open.,2,com.netflix.mediaclient,compatibility,synthetic_compat_v2,,device
"After updating to EMUI 11, half the features stopped working.",3,com.ubercab,compatibility,synthetic_compat_v2,,os
App is not optimized for Samsung Galaxy S22. UI is cut off and buttons don't work.,1,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,device
"foldable phone layout issues — text gets cut off, can't tap buttons.",1,com.spotify.music,compatibility,synthetic_compat_v2,,screen
everytime i use it . it automatically shut down sometimes or the <app> will just instantly pause . like i could be at the best part of the song and im sing along with it and silence it randomly pause . like . wth . i be use it on my samsung galaxy s8 fix this quickly .,1,com.google.android.music,compatibility,rrgen_mined_compat,bug_report,
"On my tablet, the interface is misaligned and unusable.",2,com.ubercab,compatibility,synthetic_compat_v2,,screen
i use samsung galaxy a <digit> . since i upgrade my <app> to nougat the driver location be too far away from my pick up point . please fix it update problem solve after update the newest version . thx uber .,5,com.ubercab,compatibility,rrgen_mined_compat,bug_report,
Used to love this app but MIUI 13 update killed it for me.,2,com.king.candycrushsaga,compatibility,synthetic_compat_v2,,os
Not optimized for Z Flip. Looks terrible and elements overlap.,2,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,screen
"Login screen never loads on Motorola Moto G. Tried reinstalling, same issue.",1,com.instagram.android,compatibility,synthetic_compat_v2,,device
i use a samsung galaxy s5 after the update to android <digit> . <digit> . <digit> i can no longer see the feature that list all apps that be available to be move to the sd card . the only way for me to move apps be to manually do it through the application manager in android's setting menu obviously this be incredibly annoy . please return this feature to clean master .,3,com.cleanmaster.mguard,compatibility,rrgen_mined_compat,bug_report,
Used to love this app but Android 11 update killed it for me.,1,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,os
last good version be <digit> . after that for me it's a pain to use it . take <digit> minute to find satellite in the midle of the junction keep lose direction if there be a change of the route keep push on the same f ing road instead of calculate another way . buy the speed cam and traffic make it almost to stop work . try it on samsung tab s tab s2 galaxy s4 and on the note4 . same stupid slow down with <app> and high battery usage compare to route66 or navigon .,1,com.sygic.aura,compatibility,rrgen_mined_compat,bug_report,
Doesn't work properly in Galaxy Fold. Half the UI is missing.,2,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,screen
My Google Pixel 8 can't run this app at all. Crashes within 2 seconds.,2,com.whatsapp,compatibility,synthetic_compat_v2,,device
Doesn't work properly on Realme 9. Force closes every time I open it.,2,com.twitter.android,compatibility,synthetic_compat_v2,,device
Crashes only on my Sony Xperia 1 — my friend's iPhone runs it fine.,2,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,device
Broken on Android 8.0 Oreo. Was fine before the update.,2,com.king.candycrushsaga,compatibility,synthetic_compat_v2,,os
Doesn't work properly in landscape mode. Half the UI is missing.,2,com.snapchat.android,compatibility,synthetic_compat_v2,,screen
Worked fine on the previous OS but OxygenOS 13 broke everything.,1,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,os
i be use samsung galaxy s4 <app> app lock be not work in my handset i will give <digit> star if it be solve .,1,com.cleanmaster.mguard,compatibility,rrgen_mined_compat,bug_report,
work great on my samsung galaxy s6 edge .,5,com.cleanmaster.security,compatibility,rrgen_mined_compat,praise,
keep lock up my phone in standby would like to hear from developer on how to resolve . samsung galaxy s4 w verizon .,2,com.qihoo.security,compatibility,rrgen_mined_compat,feature_request,
search not work after recent update . im on latest android <digit> . <digit> samsung galaxy s8 restart a few time no luck . guess will have to reinstall app . please fix . otherwise great app .,2,com.ebay.mobile,compatibility,rrgen_mined_compat,bug_report,
Not compatible with Android 9. Keeps erroring out.,1,com.netflix.mediaclient,compatibility,synthetic_compat_v2,,os
still not work on the samsung galaxy s8 <app> on tmobile network . i've do all the troubleshoot step send photo explain my self and now i'm be ignore for some reason .,2,flipboard.app,compatibility,rrgen_mined_compat,bug_report,
have use play <app> for year over a number of device . after recent update on my galaxy s7 it no longer see the mp3 file i have on my sd card . this make it useless for me hence the <digit> star rat . for reference the samsung <app> app still see and play them just fine so it's not an <app> level problem it's specific to play music .,1,com.google.android.music,compatibility,rrgen_mined_compat,bug_report,
Not optimized for tablet mode. Looks terrible and elements overlap.,1,com.instagram.android,compatibility,synthetic_compat_v2,,screen
App crashes constantly after upgrading to MIUI 13.,3,com.netflix.mediaclient,compatibility,synthetic_compat_v2,,os
Used to love this app but Android 12 update killed it for me.,1,com.twitter.android,compatibility,synthetic_compat_v2,,os
